date,traffic_drugs,poss_drugs,poss_weapons,robbery,violence_injury,violence_no_injury,homicide
01-2005,1242,7787,2206,10029,20461,20075,47
04-2005,1312,8080,2104,11066,22862,20619,37
07-2005,1223,8213,2132,11024,22587,19767,62
10-2005,1419,10173,2042,11460,21151,18629,32
01-2006,1243,11018,2089,11761,19245,17291,44
04-2006,1023,11088,1961,11825,21538,18536,42
07-2006,1204,11812,1839,10402,21175,17989,46
10-2006,1168,12661,1916,12216,18939,16816,42
01-2007,1164,13847,2060,11328,17879,16377,38
04-2007,1217,15479,1821,10388,19120,16894,51
07-2007,975,16588,1969,8530,18851,17056,45
10-2007,1023,17499,1687,9365,17730,16006,29
01-2008,1095,18238,1870,8758,17324,15915,38
04-2008,1233,17402,1988,8358,18861,17146,43
07-2008,1206,18980,2061,7623,18101,17089,42
10-2008,1180,18416,1678,8225,17001,16561,31
01-2009,1126,16888,1561,8348,17296,16668,39
04-2009,1168,14590,1464,8662,19421,17924,27
07-2009,1276,16404,1505,7708,18009,17865,32
10-2009,1100,15932,1276,7998,16835,17666,31
01-2010,1054,15922,1488,9105,16241,17627,27
04-2010,1156,14628,1385,9171,18448,18624,36
07-2010,1369,16488,1356,7990,17279,18039,27
10-2010,1043,13572,1223,8794,15420,16347,34
01-2011,1221,14517,1343,9898,14981,16070,35
04-2012,1021,11555,920,9268,15205,17366,29
07-2012,997,13143,1003,8634,15341,17696,23
10-2012,898,11192,915,9038,14180,16905,32
01-2013,810,11710,868,7824,13005,15498,22
04-2013,949,11651,1034,7213,13984,11400,26
07-2013,1031,11828,1050,7917,14652,12049,31
10-2013,1132,11844,1001,7066,14889,12344,28
01-2014,760,10822,886,6057,15042,12652,25


