quarter,cannabis,drugs,equipped,weapons
Apr 2007,13586,1796,171,1552
Jul 2007,14659,1837,163,1655
Oct 2007,15393,2001,161,1443
Jan 2008,15920,2203,181,1569
Apr 2008,15195,2118,152,1986
Jul 2008,16713,2150,196,2057
Oct 2008,16254,2052,176,1670
Jan 2009,14959,1834,168,1557
Apr 2009,12828,1682,170,1459
Jul 2009,14386,1920,198,1498
Oct 2009,14046,1802,187,1272
Jan 2010,14215,1580,196,1484
Apr 2010,12844,1668,173,1376
Jul 2010,14591,1794,212,1354
Oct 2010,11963,1519,165,1216
Jan 2011,13025,1424,186,1331
